size 40 40
tileset outdoor
visibilityRadius 7
unexplored


encounter "ancientTombEntranceSpirit" 29 31

item 1 "ruraldoor_SW" 23 37

tile base 39 39 base/path1
tile base 38 39 base/path2
tile base 37 39 base/path1
tile base 36 39 base/path0
tile base 35 39 base/path0
tile base 34 39 base/path2
tile base 33 39 base/path2
tile base 32 39 base/path0
tile base 31 39 base/path1
tile base 25 39 base/stone2
tile base 24 39 base/stone2
tile base 23 39 base/stone3
tile base 22 39 base/stone4
tile base 21 39 base/stone3
tile base 20 39 base/stone4
tile base 19 39 base/stone0
tile base 16 39 base/path3
tile base 15 39 base/path3
tile base 14 39 base/path1
tile base 13 39 base/path1
tile base 12 39 base/path0
tile base 11 39 base/path0
tile base 10 39 base/path0
tile base 9 39 base/path0
tile base 8 39 base/path2
tile base 7 39 base/path3
tile base 6 39 base/path0
tile base 5 39 base/path1
tile base 4 39 base/path2
tile base 3 39 base/path3
tile base 2 39 base/path0
tile base 1 39 base/path0
tile base 0 39 base/path0
tile base 37 38 base/path1
tile base 36 38 base/path0
tile base 35 38 base/path2
tile base 34 38 base/path0
tile base 33 38 base/path0
tile base 30 38 base/path0
tile base 29 38 base/path0
tile base 28 38 base/path1
tile base 27 38 base/path2
tile base 26 38 base/path3
tile base 23 38 base/stone2
tile base 22 38 base/stone1
tile base 21 38 base/stone4
tile base 18 38 base/path1
tile base 17 38 base/path0
tile base 16 38 base/path2
tile base 15 38 base/path3
tile base 14 38 base/path2
tile base 13 38 base/path1
tile base 12 38 base/path1
tile base 11 38 base/path2
tile base 10 38 base/path1
tile base 9 38 base/path2
tile base 8 38 base/path2
tile base 7 38 base/path0
tile base 6 38 base/path2
tile base 5 38 base/path2
tile base 4 38 base/path1
tile base 3 38 base/path3
tile base 2 38 base/path2
tile base 1 38 base/path0
tile base 0 38 base/path1
tile base 39 37 base/path2
tile base 38 37 base/path2
tile base 35 37 base/path3
tile base 32 37 base/path0
tile base 31 37 base/path2
tile base 30 37 base/path1
tile base 29 37 base/path0
tile base 28 37 base/path2
tile base 27 37 base/path1
tile base 26 37 base/path0
tile base 25 37 base/path1
tile base 24 37 base/path0
tile base 23 37 base/path3
tile base 19 37 base/path2
tile base 18 37 base/path0
tile base 17 37 base/path2
tile base 16 37 base/path0
tile base 15 37 base/path3
tile base 14 37 base/path1
tile base 13 37 base/path0
tile base 12 37 base/path0
tile base 11 37 base/path1
tile base 10 37 base/path1
tile base 9 37 base/path3
tile base 8 37 base/path2
tile base 7 37 base/path0
tile base 6 37 base/path0
tile base 5 37 base/path1
tile base 4 37 base/path3
tile base 3 37 base/path2
tile base 2 37 base/path1
tile base 1 37 base/path1
tile base 0 37 base/path1
tile base 39 36 base/path0
tile base 38 36 base/path1
tile base 37 36 base/path1
tile base 36 36 base/path3
tile base 34 36 base/path2
tile base 33 36 base/path3
tile base 32 36 base/path1
tile base 31 36 base/path2
tile base 30 36 base/path2
tile base 29 36 base/path0
tile base 28 36 base/path1
tile base 27 36 base/path3
tile base 26 36 base/path0
tile base 25 36 base/path0
tile base 24 36 base/path1
tile base 23 36 base/path3
tile base 22 36 base/path2
tile base 21 36 base/path3
tile base 20 36 base/path3
tile base 17 36 base/path3
tile base 16 36 base/path3
tile base 15 36 base/path3
tile base 14 36 base/path1
tile base 13 36 base/path2
tile base 12 36 base/path1
tile base 11 36 base/path2
tile base 10 36 base/path1
tile base 9 36 base/path3
tile base 8 36 base/path1
tile base 7 36 base/path3
tile base 6 36 base/path0
tile base 5 36 base/path0
tile base 4 36 base/path0
tile base 3 36 base/path0
tile base 2 36 base/path0
tile base 1 36 base/path2
tile base 0 36 base/path0
tile base 39 35 base/path2
tile base 38 35 base/path3
tile base 37 35 base/path2
tile base 36 35 base/path0
tile base 35 35 base/path3
tile base 34 35 base/path3
tile base 33 35 base/path2
tile base 32 35 base/path1
tile base 31 35 base/path0
tile base 30 35 base/path2
tile base 29 35 base/path3
tile base 28 35 base/path3
tile base 27 35 base/path0
tile base 26 35 base/path0
tile base 25 35 base/path3
tile base 24 35 base/path0
tile base 23 35 base/path3
tile base 22 35 base/path2
tile base 21 35 base/path0
